starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 20:49:08 2023	1682902148	0	27499	27499	27499
Sun Apr 30 20:52:41 2023	1682902361	0	27499	27499	27499
Sun Apr 30 20:52:26 2023	1682902346	0	27499	27499	27499
Sun Apr 30 20:52:42 2023	1682902362	0	27499	27499	27499
Sun Apr 30 20:51:34 2023	1682902294	0	27499	27499	27499
Sun Apr 30 20:52:36 2023	1682902356	1	27498	27499	27497
Sun Apr 30 20:52:24 2023	1682902344	1	27498	27499	27498
Sun Apr 30 20:49:10 2023	1682902150	0	27500	27500	27490
Sun Apr 30 20:52:27 2023	1682902347	0	27500	27500	27499
Sun Apr 30 20:49:24 2023	1682902164	0	27500	27500	27499
Sun Apr 30 20:49:11 2023	1682902151	1	27499	27500	27499
Sun Apr 30 20:49:09 2023	1682902149	0	27500	27500	27500
Sun Apr 30 20:49:09 2023	1682902149	1	27499	27500	27499
Sun Apr 30 20:52:26 2023	1682902346	1	27499	27500	27498
Sun Apr 30 20:52:31 2023	1682902351	1	27501	27502	27501
Sun Apr 30 20:52:28 2023	1682902348	1	27501	27502	27500
Sun Apr 30 20:52:39 2023	1682902359	0	27503	27503	27503
Sun Apr 30 20:52:29 2023	1682902349	1	27502	27503	27502
Sun Apr 30 20:52:24 2023	1682902344	0	27504	27504	27502
Sun Apr 30 20:49:07 2023	1682902147	1	27505	27506	27505
Sun Apr 30 20:52:28 2023	1682902348	1	27507	27508	27507
Sun Apr 30 20:52:34 2023	1682902354	0	27509	27509	27508
Sun Apr 30 20:52:50 2023	1682902370	0	27510	27510	27510
Sun Apr 30 20:52:35 2023	1682902355	1	27509	27510	27509
Sun Apr 30 20:52:36 2023	1682902356	1	27509	27510	27509
Sun Apr 30 20:52:33 2023	1682902353	0	27510	27510	27510
Sun Apr 30 20:49:07 2023	1682902147	0	27510	27510	27509
Sun Apr 30 20:52:39 2023	1682902359	0	27510	27510	27509
Sun Apr 30 20:52:36 2023	1682902356	0	27510	27510	27508
Sun Apr 30 20:52:30 2023	1682902350	1	27509	27510	27509
Sun Apr 30 20:52:27 2023	1682902347	1	27509	27510	27508
Sun Apr 30 20:52:33 2023	1682902353	0	27510	27510	27509
Sun Apr 30 20:49:04 2023	1682902144	1	27510	27511	27510
Sun Apr 30 20:49:09 2023	1682902149	5	27507	27512	27507
Sun Apr 30 20:49:06 2023	1682902146	1	27512	27513	27512
Sun Apr 30 20:52:48 2023	1682902368	1	27512	27513	27511
Sun Apr 30 20:49:06 2023	1682902146	1	27514	27515	27514
Sun Apr 30 20:52:52 2023	1682902372	0	27518	27518	27509
Sun Apr 30 20:52:33 2023	1682902353	1	27518	27519	27509
Sun Apr 30 20:51:38 2023	1682902298	1	27518	27519	27517
Sun Apr 30 20:49:11 2023	1682902151	1	27518	27519	27509
Sun Apr 30 20:52:52 2023	1682902372	0	27519	27519	27519
Sun Apr 30 20:49:07 2023	1682902147	0	27519	27519	27519
Sun Apr 30 20:52:48 2023	1682902368	0	27519	27519	27519
Sun Apr 30 20:51:35 2023	1682902295	1	27519	27520	27519
Sun Apr 30 20:52:29 2023	1682902349	1	27519	27520	27519
Sun Apr 30 20:52:43 2023	1682902363	0	27520	27520	27520
Sun Apr 30 20:52:42 2023	1682902362	1	27519	27520	27519
Sun Apr 30 20:52:41 2023	1682902361	0	27520	27520	27519
Sun Apr 30 20:52:39 2023	1682902359	1	27519	27520	27519
Sun Apr 30 20:49:03 2023	1682902143	0	27520	27520	27520
Sun Apr 30 20:49:06 2023	1682902146	1	27519	27520	27519
Sun Apr 30 20:49:12 2023	1682902152	1	27519	27520	27519
Sun Apr 30 20:51:35 2023	1682902295	0	27520	27520	27519
Sun Apr 30 20:52:51 2023	1682902371	0	27521	27521	27521
Sun Apr 30 20:52:41 2023	1682902361	1	27520	27521	27519
Sun Apr 30 20:52:29 2023	1682902349	1	27520	27521	27519
Sun Apr 30 20:52:37 2023	1682902357	1	27526	27527	27525
Sun Apr 30 20:49:09 2023	1682902149	0	27527	27527	27518
Sun Apr 30 20:52:25 2023	1682902345	0	27528	27528	27528
Sun Apr 30 20:52:45 2023	1682902365	1	27528	27529	27528
Sun Apr 30 20:52:48 2023	1682902368	1	27528	27529	27528
Sun Apr 30 20:52:52 2023	1682902372	1	27528	27529	27527
Sun Apr 30 20:52:50 2023	1682902370	0	27530	27530	27529
Sun Apr 30 20:52:44 2023	1682902364	1	27529	27530	27529
Sun Apr 30 20:52:37 2023	1682902357	0	27530	27530	27530
Sun Apr 30 20:49:10 2023	1682902150	1	27529	27530	27529
Sun Apr 30 20:52:35 2023	1682902355	0	27530	27530	27529
Sun Apr 30 20:52:35 2023	1682902355	1	27529	27530	27529
Sun Apr 30 20:52:38 2023	1682902358	1	27529	27530	27528
Sun Apr 30 20:52:38 2023	1682902358	1	27529	27530	27528
Sun Apr 30 20:52:36 2023	1682902356	0	27530	27530	27529
Sun Apr 30 20:49:10 2023	1682902150	1	27530	27531	27529
Sun Apr 30 20:52:27 2023	1682902347	0	27532	27532	27531
Sun Apr 30 20:49:11 2023	1682902151	1	27532	27533	27531
Sun Apr 30 20:52:28 2023	1682902348	1	27536	27537	27536
Sun Apr 30 20:52:37 2023	1682902357	1	27537	27538	27537
Sun Apr 30 20:49:12 2023	1682902152	0	27539	27539	27539
Sun Apr 30 20:52:24 2023	1682902344	1	27539	27540	27539
Sun Apr 30 20:52:41 2023	1682902361	0	27540	27540	27540
Sun Apr 30 20:51:36 2023	1682902296	0	27540	27540	27540
Sun Apr 30 20:52:32 2023	1682902352	1	27539	27540	27539
Sun Apr 30 20:51:38 2023	1682902298	0	27540	27540	27539
Sun Apr 30 20:52:47 2023	1682902367	1	27539	27540	27539
Sun Apr 30 20:52:39 2023	1682902359	0	27540	27540	27539
Sun Apr 30 20:52:37 2023	1682902357	0	27540	27540	27539
Sun Apr 30 20:52:48 2023	1682902368	1	27539	27540	27539
Sun Apr 30 20:52:40 2023	1682902360	1	27540	27541	27540
Sun Apr 30 20:52:30 2023	1682902350	1	27540	27541	27540
Sun Apr 30 20:52:46 2023	1682902366	0	27543	27543	27543
Sun Apr 30 20:52:44 2023	1682902364	1	27545	27546	27545
Sun Apr 30 20:52:30 2023	1682902350	1	27548	27549	27548
Sun Apr 30 20:52:52 2023	1682902372	0	27549	27549	27548
Sun Apr 30 20:52:50 2023	1682902370	0	27549	27549	27549
Sun Apr 30 20:52:49 2023	1682902369	0	27550	27550	27549
Sun Apr 30 20:52:47 2023	1682902367	1	27549	27550	27549
Sun Apr 30 20:49:12 2023	1682902152	0	27550	27550	27549
Sun Apr 30 20:49:08 2023	1682902148	1	27549	27550	27549
Sun Apr 30 20:52:43 2023	1682902363	1	27549	27550	27549
Sun Apr 30 20:51:37 2023	1682902297	0	27551	27551	27550
Sun Apr 30 20:52:53 2023	1682902373	1	27550	27551	27550
Sun Apr 30 20:52:29 2023	1682902349	0	27558	27558	27558
Sun Apr 30 20:52:46 2023	1682902366	1	27557	27558	27556
Sun Apr 30 20:52:31 2023	1682902351	0	27559	27559	27558
Sun Apr 30 20:52:49 2023	1682902369	0	27559	27559	27559
Sun Apr 30 20:52:40 2023	1682902360	1	27559	27560	27559
Sun Apr 30 20:52:45 2023	1682902365	0	27560	27560	27559
Sun Apr 30 20:52:34 2023	1682902354	0	27560	27560	27560
Sun Apr 30 20:51:38 2023	1682902298	0	27560	27560	27559
Sun Apr 30 20:52:40 2023	1682902360	0	27560	27560	27559
Sun Apr 30 20:52:51 2023	1682902371	0	27561	27561	27561
Sun Apr 30 20:51:37 2023	1682902297	0	27566	27566	27565
Sun Apr 30 20:51:37 2023	1682902297	1	27568	27569	27568
Sun Apr 30 20:52:51 2023	1682902371	0	27569	27569	27569
Sun Apr 30 20:52:46 2023	1682902366	0	27569	27569	27569
Sun Apr 30 20:52:45 2023	1682902365	0	27570	27570	27570
Sun Apr 30 20:51:36 2023	1682902296	0	27570	27570	27569
Sun Apr 30 20:52:47 2023	1682902367	0	27570	27570	27569
Sun Apr 30 20:51:36 2023	1682902296	0	27570	27570	27568
Sun Apr 30 20:52:46 2023	1682902366	1	27569	27570	27569
Sun Apr 30 20:52:34 2023	1682902354	1	27569	27570	27569
Sun Apr 30 20:52:43 2023	1682902363	1	27570	27571	27570
Sun Apr 30 20:52:49 2023	1682902369	1	27572	27573	27572
Sun Apr 30 20:51:36 2023	1682902296	1	27576	27577	27576
Sun Apr 30 20:52:44 2023	1682902364	1	27577	27578	27577
Sun Apr 30 20:52:57 2023	1682902377	1	27577	27578	27576
Sun Apr 30 20:52:47 2023	1682902367	1	27579	27580	27579
Sun Apr 30 20:52:59 2023	1682902379	0	27580	27580	27578
Sun Apr 30 20:52:58 2023	1682902378	0	27583	27583	27583
Sun Apr 30 20:52:53 2023	1682902373	1	27586	27587	27586
Sun Apr 30 20:52:59 2023	1682902379	0	27590	27590	27590
Sun Apr 30 20:52:44 2023	1682902364	1	27589	27590	27589
Sun Apr 30 20:52:58 2023	1682902378	1	27599	27600	27599
Sun Apr 30 20:52:57 2023	1682902377	0	27603	27603	27602
Sun Apr 30 20:53:00 2023	1682902380	1	27609	27610	27609
Sun Apr 30 20:53:00 2023	1682902380	1	27609	27610	27609
Sun Apr 30 20:52:58 2023	1682902378	1	27616	27617	27616
Sun Apr 30 20:52:57 2023	1682902377	1	27619	27620	27619
Sun Apr 30 20:53:01 2023	1682902381	0	27622	27622	27621
Sun Apr 30 20:52:55 2023	1682902375	0	27622	27622	27622
Sun Apr 30 20:52:56 2023	1682902376	1	27622	27623	27622
Sun Apr 30 20:52:59 2023	1682902379	0	27626	27626	27626
Sun Apr 30 20:52:58 2023	1682902378	1	27628	27629	27628
Sun Apr 30 20:52:56 2023	1682902376	0	27629	27629	27628
Sun Apr 30 20:52:56 2023	1682902376	1	27629	27630	27629
Sun Apr 30 20:52:59 2023	1682902379	1	27629	27630	27629
Sun Apr 30 20:53:00 2023	1682902380	0	27640	27640	27639
Sun Apr 30 20:53:01 2023	1682902381	0	27643	27643	27643
Sun Apr 30 20:52:56 2023	1682902376	1	27643	27644	27642
Sun Apr 30 20:52:55 2023	1682902375	1	27668	27669	27668
Sun Apr 30 20:52:54 2023	1682902374	0	27670	27670	27669
Sun Apr 30 20:52:54 2023	1682902374	1	27669	27670	27669
Sun Apr 30 20:52:54 2023	1682902374	0	27671	27671	27671
Sun Apr 30 20:52:53 2023	1682902373	1	27677	27678	27676
Sun Apr 30 20:52:55 2023	1682902375	1	27685	27686	27685
Sun Apr 30 20:52:55 2023	1682902375	1	27688	27689	27688
Sun Apr 30 20:48:55 2023	1682902135	1	27693	27694	27693
Sun Apr 30 20:52:53 2023	1682902373	0	27712	27712	27712
