starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 21:04:30 2023	1682903070	0	348	348	236
Sun Apr 30 21:04:31 2023	1682903071	0	348	348	282
Sun Apr 30 21:04:30 2023	1682903070	1	347	348	235
Sun Apr 30 21:04:30 2023	1682903070	0	349	349	237
Sun Apr 30 21:04:30 2023	1682903070	0	349	349	217
Sun Apr 30 21:04:31 2023	1682903071	1	348	349	334
Sun Apr 30 21:04:30 2023	1682903070	1	349	350	236
Sun Apr 30 21:04:30 2023	1682903070	1	349	350	240
Sun Apr 30 21:04:32 2023	1682903072	1	349	350	347
Sun Apr 30 21:04:29 2023	1682903069	1	350	351	278
Sun Apr 30 21:04:32 2023	1682903072	1	350	351	320
Sun Apr 30 21:04:32 2023	1682903072	1	350	351	317
Sun Apr 30 21:04:32 2023	1682903072	1	350	351	322
Sun Apr 30 21:04:30 2023	1682903070	1	350	351	249
Sun Apr 30 21:04:32 2023	1682903072	10	341	351	313
Sun Apr 30 21:04:31 2023	1682903071	1	351	352	271
Sun Apr 30 21:04:30 2023	1682903070	1	351	352	225
Sun Apr 30 21:04:30 2023	1682903070	1	351	352	222
Sun Apr 30 21:04:29 2023	1682903069	1	352	353	236
Sun Apr 30 21:04:32 2023	1682903072	1	353	354	266
Sun Apr 30 21:04:31 2023	1682903071	1	353	354	260
Sun Apr 30 21:04:29 2023	1682903069	1	353	354	237
Sun Apr 30 21:04:29 2023	1682903069	1	353	354	234
Sun Apr 30 21:04:29 2023	1682903069	1	353	354	234
Sun Apr 30 21:04:32 2023	1682903072	1	354	355	294
Sun Apr 30 21:04:32 2023	1682903072	1	354	355	345
Sun Apr 30 21:04:29 2023	1682903069	1	354	355	235
Sun Apr 30 21:04:29 2023	1682903069	1	354	355	236
Sun Apr 30 21:04:32 2023	1682903072	1	354	355	353
Sun Apr 30 21:04:30 2023	1682903070	1	354	355	279
Sun Apr 30 21:04:31 2023	1682903071	0	356	356	275
Sun Apr 30 21:04:31 2023	1682903071	1	355	356	270
Sun Apr 30 21:04:31 2023	1682903071	1	355	356	274
Sun Apr 30 21:04:31 2023	1682903071	0	356	356	276
Sun Apr 30 21:04:32 2023	1682903072	1	355	356	338
Sun Apr 30 21:04:31 2023	1682903071	1	355	356	339
Sun Apr 30 21:04:31 2023	1682903071	1	355	356	337
Sun Apr 30 21:04:29 2023	1682903069	1	355	356	239
Sun Apr 30 21:04:32 2023	1682903072	1	355	356	355
Sun Apr 30 21:04:32 2023	1682903072	1	356	357	349
Sun Apr 30 21:04:31 2023	1682903071	1	356	357	282
Sun Apr 30 21:04:30 2023	1682903070	1	356	357	217
Sun Apr 30 21:04:29 2023	1682903069	2	356	357	244
Sun Apr 30 21:04:29 2023	1682903069	1	356	357	228
Sun Apr 30 21:04:32 2023	1682903072	0	358	358	297
Sun Apr 30 21:04:32 2023	1682903072	1	357	358	348
Sun Apr 30 21:04:32 2023	1682903072	1	357	358	356
Sun Apr 30 21:04:32 2023	1682903072	1	357	358	320
Sun Apr 30 21:04:31 2023	1682903071	1	357	358	356
