starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 20:56:40 2023	1682902600	1	27238	27239	27238
Sun Apr 30 20:59:02 2023	1682902742	0	27239	27239	27239
Sun Apr 30 20:57:32 2023	1682902652	1	27238	27239	27238
Sun Apr 30 20:57:21 2023	1682902641	0	27240	27240	27240
Sun Apr 30 20:57:27 2023	1682902647	1	27239	27240	27239
Sun Apr 30 20:56:44 2023	1682902604	0	27240	27240	27239
Sun Apr 30 20:57:18 2023	1682902638	0	27240	27240	27239
Sun Apr 30 20:57:25 2023	1682902645	0	27240	27240	27240
Sun Apr 30 20:57:31 2023	1682902651	1	27239	27240	27239
Sun Apr 30 20:59:03 2023	1682902743	1	27239	27240	27239
Sun Apr 30 20:57:18 2023	1682902638	1	27239	27240	27239
Sun Apr 30 20:56:30 2023	1682902590	0	27240	27240	27239
Sun Apr 30 20:57:25 2023	1682902645	1	27239	27240	27238
Sun Apr 30 20:57:52 2023	1682902672	1	27240	27240	27240
Sun Apr 30 20:57:30 2023	1682902650	1	27239	27240	27238
Sun Apr 30 20:56:35 2023	1682902595	0	27240	27240	27240
Sun Apr 30 20:59:01 2023	1682902741	1	27239	27240	27239
Sun Apr 30 20:56:10 2023	1682902570	1	27241	27241	27222
Sun Apr 30 20:57:34 2023	1682902654	0	27243	27243	27242
Sun Apr 30 20:56:42 2023	1682902602	1	27242	27243	27242
Sun Apr 30 20:56:01 2023	1682902561	0	27243	27243	27243
Sun Apr 30 20:59:31 2023	1682902771	1	27243	27244	27238
Sun Apr 30 20:56:34 2023	1682902594	1	27243	27244	27243
Sun Apr 30 20:59:00 2023	1682902740	0	27244	27244	27244
Sun Apr 30 20:58:01 2023	1682902681	1	27244	27245	27244
Sun Apr 30 20:58:43 2023	1682902723	1	27244	27245	27243
Sun Apr 30 20:59:30 2023	1682902770	1	27245	27246	27245
Sun Apr 30 20:58:43 2023	1682902723	1	27246	27247	27246
Sun Apr 30 20:56:34 2023	1682902594	1	27247	27248	27247
Sun Apr 30 20:56:18 2023	1682902578	0	27248	27248	27248
Sun Apr 30 20:58:07 2023	1682902687	0	27248	27248	27248
Sun Apr 30 20:59:03 2023	1682902743	1	27247	27248	27247
Sun Apr 30 20:56:44 2023	1682902604	1	27248	27249	27247
Sun Apr 30 20:59:29 2023	1682902769	0	27249	27249	27249
Sun Apr 30 20:56:07 2023	1682902567	0	27249	27249	27249
Sun Apr 30 20:58:41 2023	1682902721	1	27249	27249	27249
Sun Apr 30 20:59:31 2023	1682902771	0	27249	27249	27249
Sun Apr 30 20:57:59 2023	1682902679	0	27249	27249	27249
Sun Apr 30 20:58:57 2023	1682902737	1	27248	27249	27248
Sun Apr 30 20:58:05 2023	1682902685	0	27249	27249	27248
Sun Apr 30 20:58:44 2023	1682902724	1	27248	27249	27248
Sun Apr 30 20:56:42 2023	1682902602	0	27249	27249	27248
Sun Apr 30 20:56:14 2023	1682902574	1	27249	27249	27247
Sun Apr 30 20:59:30 2023	1682902770	1	27248	27249	27248
Sun Apr 30 20:57:31 2023	1682902651	1	27249	27250	27249
Sun Apr 30 20:56:01 2023	1682902561	1	27249	27250	27249
Sun Apr 30 20:57:26 2023	1682902646	0	27250	27250	27250
Sun Apr 30 20:59:03 2023	1682902743	0	27250	27250	27250
Sun Apr 30 20:59:28 2023	1682902768	0	27250	27250	27249
Sun Apr 30 20:57:25 2023	1682902645	1	27249	27250	27249
Sun Apr 30 20:56:07 2023	1682902567	1	27249	27250	27249
Sun Apr 30 20:59:01 2023	1682902741	0	27250	27250	27249
Sun Apr 30 20:57:29 2023	1682902649	1	27249	27250	27249
Sun Apr 30 20:56:36 2023	1682902596	1	27249	27250	27249
Sun Apr 30 20:58:43 2023	1682902723	0	27250	27250	27250
Sun Apr 30 20:56:42 2023	1682902602	1	27249	27250	27247
Sun Apr 30 20:59:30 2023	1682902770	1	27249	27250	27249
Sun Apr 30 20:56:16 2023	1682902576	0	27250	27250	27249
Sun Apr 30 20:59:28 2023	1682902768	1	27249	27250	27249
Sun Apr 30 20:56:38 2023	1682902598	1	27249	27250	27249
Sun Apr 30 20:57:28 2023	1682902648	1	27249	27250	27248
Sun Apr 30 20:57:58 2023	1682902678	1	27249	27250	27249
Sun Apr 30 20:58:04 2023	1682902684	0	27251	27251	27250
Sun Apr 30 20:58:44 2023	1682902724	1	27250	27251	27250
Sun Apr 30 20:57:59 2023	1682902679	0	27251	27251	27251
Sun Apr 30 20:57:29 2023	1682902649	0	27251	27251	27250
Sun Apr 30 20:56:39 2023	1682902599	1	27250	27251	27250
Sun Apr 30 20:58:42 2023	1682902722	0	27251	27251	27251
Sun Apr 30 20:57:30 2023	1682902650	1	27251	27252	27251
Sun Apr 30 20:56:11 2023	1682902571	1	27252	27253	27252
Sun Apr 30 20:56:15 2023	1682902575	1	27253	27254	27252
Sun Apr 30 20:58:00 2023	1682902680	1	27253	27254	27252
Sun Apr 30 20:56:40 2023	1682902600	1	27253	27254	27253
Sun Apr 30 20:56:35 2023	1682902595	1	27254	27255	27251
Sun Apr 30 20:57:59 2023	1682902679	1	27255	27256	27255
Sun Apr 30 20:57:13 2023	1682902633	0	27256	27256	27256
Sun Apr 30 20:57:28 2023	1682902648	0	27258	27258	27258
Sun Apr 30 20:58:00 2023	1682902680	0	27258	27258	27258
Sun Apr 30 20:58:00 2023	1682902680	0	27258	27258	27257
Sun Apr 30 20:56:41 2023	1682902601	0	27258	27258	27258
Sun Apr 30 20:58:42 2023	1682902722	0	27258	27258	27258
Sun Apr 30 20:56:40 2023	1682902600	1	27257	27258	27257
Sun Apr 30 20:56:32 2023	1682902592	1	27257	27258	27257
Sun Apr 30 20:59:01 2023	1682902741	0	27258	27258	27258
Sun Apr 30 20:57:09 2023	1682902629	0	27259	27259	27258
Sun Apr 30 20:59:28 2023	1682902768	0	27259	27259	27259
Sun Apr 30 20:56:32 2023	1682902592	1	27258	27259	27258
Sun Apr 30 20:57:16 2023	1682902636	0	27259	27259	27259
Sun Apr 30 20:58:45 2023	1682902725	0	27259	27259	27259
Sun Apr 30 20:57:08 2023	1682902628	0	27259	27259	27258
Sun Apr 30 20:55:55 2023	1682902555	0	27259	27259	27258
Sun Apr 30 20:56:16 2023	1682902576	1	27259	27260	27259
Sun Apr 30 20:58:41 2023	1682902721	0	27260	27260	27260
Sun Apr 30 20:56:41 2023	1682902601	1	27259	27260	27259
Sun Apr 30 20:59:29 2023	1682902769	1	27259	27260	27259
Sun Apr 30 20:58:07 2023	1682902687	1	27259	27260	27259
Sun Apr 30 20:57:55 2023	1682902675	0	27260	27260	27259
Sun Apr 30 20:57:12 2023	1682902632	0	27260	27260	27260
Sun Apr 30 20:57:16 2023	1682902636	0	27260	27260	27259
Sun Apr 30 20:56:17 2023	1682902577	0	27260	27260	27258
Sun Apr 30 20:56:14 2023	1682902574	0	27260	27260	27259
Sun Apr 30 20:56:11 2023	1682902571	1	27259	27260	27259
Sun Apr 30 20:56:36 2023	1682902596	1	27259	27260	27259
Sun Apr 30 20:56:41 2023	1682902601	0	27260	27260	27260
Sun Apr 30 20:57:57 2023	1682902677	0	27260	27260	27259
Sun Apr 30 20:56:36 2023	1682902596	1	27259	27260	27258
Sun Apr 30 20:58:59 2023	1682902739	1	27259	27260	27258
Sun Apr 30 20:57:29 2023	1682902649	1	27259	27260	27259
Sun Apr 30 20:57:58 2023	1682902678	0	27260	27260	27260
Sun Apr 30 20:57:26 2023	1682902646	1	27259	27260	27258
Sun Apr 30 20:57:08 2023	1682902628	1	27259	27260	27258
Sun Apr 30 20:56:04 2023	1682902564	1	27259	27260	27258
Sun Apr 30 20:59:04 2023	1682902744	1	27260	27261	27260
Sun Apr 30 20:55:54 2023	1682902554	0	27261	27261	27261
Sun Apr 30 20:56:05 2023	1682902565	1	27260	27261	27260
Sun Apr 30 20:58:04 2023	1682902684	0	27262	27262	27260
Sun Apr 30 20:56:42 2023	1682902602	0	27263	27263	27262
Sun Apr 30 20:57:26 2023	1682902646	1	27262	27263	27262
Sun Apr 30 20:56:39 2023	1682902599	1	27263	27264	27263
Sun Apr 30 20:56:37 2023	1682902597	1	27264	27265	27264
Sun Apr 30 20:58:06 2023	1682902686	1	27266	27266	27260
Sun Apr 30 20:59:02 2023	1682902742	1	27265	27266	27265
Sun Apr 30 20:58:01 2023	1682902681	0	27267	27267	27267
Sun Apr 30 20:56:38 2023	1682902598	0	27267	27267	27267
Sun Apr 30 20:56:15 2023	1682902575	1	27268	27269	27268
Sun Apr 30 20:57:13 2023	1682902633	0	27269	27269	27269
Sun Apr 30 20:57:10 2023	1682902630	1	27268	27269	27268
Sun Apr 30 20:59:02 2023	1682902742	0	27269	27269	27269
Sun Apr 30 20:59:28 2023	1682902768	0	27269	27269	27268
Sun Apr 30 20:57:13 2023	1682902633	1	27268	27269	27268
Sun Apr 30 20:57:09 2023	1682902629	0	27270	27270	27270
Sun Apr 30 20:57:12 2023	1682902632	1	27269	27270	27269
Sun Apr 30 20:56:05 2023	1682902565	1	27269	27270	27269
Sun Apr 30 20:55:54 2023	1682902554	1	27269	27270	27269
Sun Apr 30 20:59:27 2023	1682902767	0	27270	27270	27269
Sun Apr 30 20:57:52 2023	1682902672	0	27270	27270	27270
Sun Apr 30 20:56:06 2023	1682902566	0	27270	27270	27270
Sun Apr 30 20:58:49 2023	1682902729	1	27269	27270	27269
Sun Apr 30 20:56:45 2023	1682902605	1	27269	27270	27269
Sun Apr 30 20:56:11 2023	1682902571	1	27269	27270	27269
Sun Apr 30 20:57:59 2023	1682902679	1	27269	27270	27269
Sun Apr 30 20:58:57 2023	1682902737	1	27269	27270	27269
Sun Apr 30 20:56:08 2023	1682902568	1	27269	27270	27269
Sun Apr 30 20:57:30 2023	1682902650	1	27269	27270	27268
Sun Apr 30 20:59:25 2023	1682902765	1	27269	27270	27268
